store_id,year,total_revenue,mean_revenue,median_revenue,min_revenue,max_revenue
CA_1,2011,2922245.86,11.119995509756766,6.97,0.2,517.88
CA_1,2012,3917812.66,11.179823591183554,6.94,0.2,2164.3199999999997
CA_1,2013,4342793.28,10.867742264842194,6.540000000000001,0.2,906.3600000000001
CA_1,2014,4645767.19,10.424582221673717,6.0,0.02,781.86
CA_1,2015,5058086.5200000005,10.390908665105387,6.0,0.2,592.62
CA_1,2016,1633546.87,10.365802842819976,6.0,0.2,672.3000000000001
CA_2,2011,2411535.13,10.535643859794751,7.0,0.2,506.16
CA_2,2012,3063930.96,10.357626616725375,6.97,0.2,302.48
CA_2,2013,3298343.92,9.714697824287747,6.36,0.2,493.90000000000003
CA_2,2014,3131040.08,8.937325573097596,5.9399999999999995,0.2,261.87
CA_2,2015,3906887.64,9.176461452821016,5.9399999999999995,0.2,366.54
CA_2,2016,1597706.95,9.892493514213006,5.98,0.2,344.7
CA_3,2011,4174686.87,14.149562330531454,8.36,0.2,887.04
CA_3,2012,5652875.0,14.934822181065936,8.73,0.2,1374.48
CA_3,2013,6158423.62,13.816798932064973,7.96,0.01,763.0
CA_3,2014,6744344.24,13.278516126745867,7.88,0.2,766.9200000000001
CA_3,2015,7054105.72,12.821730307833244,7.5,0.2,1257.1
CA_3,2016,2324284.25,12.984392981240852,7.52,0.2,707.1600000000001
CA_4,2011,1505776.15,7.438135496937364,5.14,0.2,194.7
CA_4,2012,2061955.19,7.624953554074742,5.32,0.2,383.46000000000004
CA_4,2013,2341768.79,7.626048326955956,5.0,0.2,318.72
CA_4,2014,2565132.23,7.506093023936326,5.0,0.2,372.0
CA_4,2015,2782280.73,7.407484291967072,4.98,0.2,348.6
CA_4,2016,950233.8,7.559416715724492,5.0,0.2,189.43
TX_1,2011,2086062.89,9.381930613584949,5.88,0.1,1496.24
TX_1,2012,2819059.15,9.670905045986435,5.94,0.2,453.6
TX_1,2013,2975205.37,9.294147652725886,5.91,0.1,1766.94
TX_1,2014,3153808.79,8.99928603428154,5.64,0.2,479.52000000000004
TX_1,2015,3535360.24,9.097029138404851,5.58,0.2,456.96000000000004
TX_1,2016,1159665.62,9.127991026801528,5.62,0.2,321.72
TX_2,2011,2864113.41,10.902808999029293,6.47,0.07,378.88
TX_2,2012,3902965.25,11.401011436166328,6.58,0.05,526.6800000000001
TX_2,2013,4169267.0100000002,10.900471940076082,6.05,0.2,607.22
TX_2,2014,3805537.79,9.771669987623445,5.92,0.15,671.44
TX_2,2015,4290980.97,9.893572653868677,5.82,0.2,702.1800000000001
TX_2,2016,1485372.69,10.204889491944625,5.92,0.2,574.5
TX_3,2011,2256005.47,10.427958833698497,5.94,0.14,486.40000000000003
TX_3,2012,2934446.29,10.193509278364841,5.96,0.05,425.86
TX_3,2013,3091774.77,9.520681800685464,5.91,0.07,434.16
TX_3,2014,3635085.31,9.735201528671974,5.91,0.1,1078.92
TX_3,2015,4395218.56,10.627713764804309,5.91,0.2,1618.38
TX_3,2016,1484197.36,10.634376280756058,5.92,0.2,1034.1
WI_1,2011,1474474.34,8.0518689179891,5.76,0.2,218.16
WI_1,2012,2017060.97,8.189713713803128,5.67,0.2,445.50000000000006
WI_1,2013,2818384.7,7.98420572529356,5.48,0.01,420.24
WI_1,2014,3362263.61,8.154203766355026,5.58,0.01,545.34
WI_1,2015,3789069.25,8.281141133068447,5.76,0.2,262.24
WI_1,2016,1307982.15,8.387619435431121,5.84,0.2,210.54
WI_2,2011,1431217.15,9.15685956493922,5.91,0.2,362.96000000000004
WI_2,2012,2642317.48,10.250877659884003,5.96,0.2,584.08
WI_2,2013,3628699.84,10.575630728697623,5.98,0.07,550.8000000000001
WI_2,2014,3957147.69,10.30265742404124,5.97,0.2,570.24
WI_2,2015,4298560.96,10.275575529249775,5.96,0.2,539.38
WI_2,2016,1732795.18,11.678406076454413,6.56,0.2,704.22
WI_3,2011,2765218.81,11.073986840419057,6.56,0.2,642.32
WI_3,2012,3636777.89,11.397306379684792,6.68,0.2,513.8100000000001
WI_3,2013,3098712.0100000002,9.617684061218727,5.91,0.2,483.06000000000006
WI_3,2014,2861786.2600000002,8.500952819455625,5.24,0.02,393.36
WI_3,2015,3305906.02,8.803190168692666,5.36,0.2,429.12
WI_3,2016,1258505.12,9.316394270274273,5.68,0.2,325.08
